id|externalid|parentid|status|name|geographiclevel|openmrs_id|type|coordinates
27f2d471-3a20-45e9-b84c-244045e2b0c1||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.838222908955913, -17.701902511282416]
9514f6fb-f811-4c28-9010-4ab9ca2e41de||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.836339912449375, -17.694877145692523]
738c59ea-6481-4ebf-befb-c9b4e1815c0a||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.835462252256548, -17.695224024334312]
3035062b-0038-4d5c-8e98-b651a9486f59||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.834920188322485, -17.69449237981629]
552440d2-3533-4490-8306-540709b86a74||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.83547452852713, -17.693792438032315]
515b654b-0259-41a9-b85a-0fa501925f56||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.837634276114954, -17.694191679201346]
4b634ac5-013a-4238-88b0-7a3bee909311||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.837086439142467, -17.690695483765655]
8299764d-0a0e-4d9e-88f3-fa4932dd0120||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.833405529681272, -17.7031017330188]
9eccdc12-fa8e-4445-a274-c7bbbc29d7ca||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.835843513610826, -17.701884303073733]
f2b9f842-9587-499c-a28f-acd74de8d8aa||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.835974875420789, -17.70366445313602]
4597b35b-c923-4986-8b76-203cdb8f3309||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.83600335255801, -17.703673028680512]
eb3d023c-9d2d-4070-baa4-a41162e18aeb||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.834365530485911, -17.70551080976814]
41992221-56b2-419c-9084-7654090ab3a0||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.833707910764588, -17.7070882933061]
a30e23f5-8dc0-481a-8f2d-3e3c97ac970c||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.831588844878752, -17.704346297110106]
c1588b2c-16ce-45ec-af8b-f460872936c9||4748ec18-d398-11e9-bb65-2a2ae2dbcce4|Pending Review||0||Point|[15.940446460327962, -17.731865747101377]
65ae7f1f-b14f-4826-b77c-f3ca05a78c2a||d38d6fdd-d1be-4b4a-8f7a-683dcb38c7df|Pending Review||0||Point|[15.776708575957286, -17.80326053389187]
1e09edb3-fd06-44be-8a9a-f05c8c434ec6||d5ac666d-ac97-4791-b7d6-9fd5e649d77c|Pending Review||0||Point|[15.921029500000031, -18.020750500000002]
e22572c1-29c3-413e-ba69-cc2e3ab83748||d5ac666d-ac97-4791-b7d6-9fd5e649d77c|Pending Review||0||Point|[15.922577600000068, -18.01977889999998]
0214dc5d-d4f2-47cb-b188-2e10b92b1659||d5ac666d-ac97-4791-b7d6-9fd5e649d77c|Pending Review||0||Point|[15.914180236483958, -18.020172223689702]
c6090fd9-d6f0-45a3-ad77-417835766d68||d5ac666d-ac97-4791-b7d6-9fd5e649d77c|Pending Review||0||Point|[15.914140399999951, -18.020274400000016]
5cd2745b-f9a1-40f1-98a3-0546cd999303||d5ac666d-ac97-4791-b7d6-9fd5e649d77c|Pending Review||0||Point|[15.91030948026878, -18.018736776033055]
f8b1b6e2-ab09-48f9-a9cd-dc50105c9b95||d5ac666d-ac97-4791-b7d6-9fd5e649d77c|Pending Review||0||Point|[15.90863857763361, -18.020429296003936]
674d2bf4-decb-441d-83f1-6c31d0af0764||38796cfe-4877-45f3-8263-999ab64e160b|Pending Review||0||Point|[15.99273979653708, -17.931591671973788]
322603b0-23a4-4907-88d0-0d6200fb3f86||a4597ab8-8e84-4f6a-bd6c-1d3293a2da9a|Pending Review||0||Point|[15.880295355258935, -17.828651968691013]
1a484b84-6e4d-48e8-97a4-2c5fe09898fa||38796cfe-4877-45f3-8263-999ab64e160b|Pending Review||0||Point|[15.992290924342342, -17.931149209990696]
